//-t 1000 --solver basic TabooSolver20-2 TabooSolver200-2 TabooSolver200-20 TabooSolver2000-2 TabooSolver2000-20 TabooSolver2000-200 --instance ft06 ft10 ft20 la01 la02 la03 la04 la05 la06 la07 la08 la09 la10 la11 la12 la13 la14 la15 la16 la17 la18 la19 la20 la21 la22 la23 la24 la25 la26 la27 la28 la29 la30 la31 la32 la33 la34 la35 la36 la37 la38 la39 la40
                          basic                         TabooSolver20-2               TabooSolver200-2              TabooSolver200-20             TabooSolver2000-2             TabooSolver2000-20            TabooSolver2000-200
 instance size  best      runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart
la14     20x5  1292            0     1292   0.0             31     1427  10.4            240     1427  10.4            282     1427  10.4           2584     1427  10.4           2431     1427  10.4           2416     1427  10.4
la15     20x5  1207            0     1586  31.4             40     1345  11.4            423     1345  11.4            411     1345  11.4           4361     1345  11.4           4194     1345  11.4           4260     1345  11.4
la16     10x10  945            0     1327  40.4             21     1067  12.9            171     1044  10.5            263     1044  10.5           1323     1044  10.5           1394     1044  10.5           2269     1044  10.5
la17     10x10  784            0      912  16.3             21      899  14.7            161      899  14.7            199      899  14.7           1663      899  14.7           1601      899  14.7           1569      899  14.7
la18     10x10  848            0     1024  20.8             17      981  15.7            157      981  15.7            173      981  15.7           1758      981  15.7           1854      981  15.7           1777      981  15.7
la19     10x10  842            0     1058  25.7             23      909   8.0            205      875   3.9            243      900   6.9           2028      875   3.9           2725      875   3.9           2762      893   6.1
la20     10x10  902            0     1259  39.6             28      950   5.3            247      950   5.3            243      950   5.3           2340      950   5.3           2763      950   5.3           2534      950   5.3
la21     15x10 1046            0     1555  48.7             49     1257  20.2            441     1257  20.2            452     1257  20.2           4395     1257  20.2           4293     1257  20.2           4402     1257  20.2
la22     15x10  927            0     1360  46.7             56     1169  26.1            467     1169  26.1            454     1169  26.1           4974     1169  26.1           4871     1169  26.1           4849     1169  26.1
la23     15x10 1032            0     1436  39.1             67     1141  10.6            687     1141  10.6            697     1141  10.6           6859     1141  10.6           6948     1141  10.6           7101     1141  10.6
la24     15x10  935            0     1245  33.2             76     1148  22.8            672     1077  15.2            845     1147  22.7           6088     1077  15.2           6595     1147  22.7           6851     1147  22.7
la25     15x10  977            0     1440  47.4             80     1267  29.7            799     1267  29.7            744     1267  29.7           6946     1267  29.7           6952     1267  29.7           7269     1267  29.7
la26     20x10 1218            0     1759  44.4            153     1426  17.1           1065     1426  17.1           1063     1426  17.1          10005     1426  17.1          10003     1426  17.1          10004     1426  17.1
la27     20x10 1235            0     1791  45.0            151     1705  38.1           1276     1705  38.1           1337     1705  38.1          10006     1705  38.1          10001     1705  38.1          10004     1705  38.1
la28     20x10 1216            0     1642  35.0            112     1541  26.7           1033     1541  26.7           1082     1541  26.7           9665     1541  26.7          10003     1541  26.7          10000     1541  26.7
la29     20x10 1152            0     1686  46.4            138     1647  43.0           1324     1647  43.0           1223     1647  43.0          10004     1647  43.0          10006     1647  43.0          10002     1647  43.0
la30     20x10 1355            0     1774  30.9            134     1624  19.9           1154     1565  15.5           1412     1614  19.1          10001     1565  15.5          10006     1614  19.1          10000     1614  19.1
la31     30x10 1784            0     2215  24.2            236     1827   2.4           2261     1827   2.4           2146     1827   2.4          10000     1827   2.4          10012     1827   2.4          10004     1827   2.4
la32     30x10 1850            0     2421  30.9            155     2183  18.0            994     2183  18.0           1049     2164  17.0          10000     2183  18.0           9780     2164  17.0          10001     2164  17.0
la33     30x10 1719            0     2139  24.4            121     1917  11.5           1270     1917  11.5            918     1895  10.2          10004     1917  11.5           9083     1895  10.2          10000     1895  10.2
la34     30x10 1721            0     2284  32.7            208     1959  13.8           1967     1959  13.8           1907     1956  13.7          10000     1959  13.8          10003     1956  13.7          10009     1956  13.7
la35     30x10 1888            0     2498  32.3            160     2068   9.5           1526     2068   9.5           1462     2068   9.5          10004     2068   9.5          10006     2068   9.5          10006     2068   9.5
la36     15x15 1268            0     1677  32.3             54     1694  33.6            475     1694  33.6            381     1665  31.3           4793     1694  33.6           3205     1665  31.3           4022     1665  31.3
la37     15x15 1397            0     2098  50.2             81     1605  14.9            552     1605  14.9            564     1605  14.9           5518     1605  14.9           5882     1605  14.9           5888     1605  14.9
la38     15x15 1196            0     1766  47.7             92     1372  14.7            769     1372  14.7            766     1372  14.7           7849     1372  14.7           8008     1372  14.7           8243     1372  14.7
la39     15x15 1233            0     1794  45.5             78     1599  29.7            927     1599  29.7            856     1599  29.7           9061     1599  29.7           8570     1599  29.7           8257     1599  29.7
la40     15x15 1222            0     1728  41.4             84     1368  11.9            689     1313   7.4            835     1329   8.8           6372     1313   7.4           8285     1326   8.5           8062     1326   8.5
AVG      -        -          0.1        -  29.9           67.8        -  14.5          565.3        -  13.9          573.5        -  14.0         4669.2        -  13.9         4655.0        -  13.9         4773.2        -  13.9

